State,District,Crop,Season,Soil_Type,Rainfall_mm,Temperature_C,Humidity_pct,Area_hectares,Fertilizer_kg_per_hectare,Pesticide_kg_per_hectare,Price_per_quintal
Punjab,Jalandhar,,Whole Year,Clay,535.7,28.2,52.4,34.74,206.9,9.58,3145.31
Telangana,Warangal,Cotton,Whole Year,Black (Regur),815.8,25.1,61.1,27.59,277.2,21.82,3882.79
Bihar,Patna,Chana (Gram),Whole Year,Laterite,,25.4,64.4,11.1,215.8,14.42,3359.29
Gujarat,Junagadh,Wheat,Zaid,Desert (Arid),85.4,31.6,40.9,11.03,211.8,20.79,2993.8
Tamil Nadu,Madurai,Soybean,Zaid,Sandy Loam,101.9,33.2,47.1,41.68,163.0,15.86,5005.88
Maharashtra,Nagpur,Potato,Zaid,Clay,164.8,36.1,51.3,10.38,167.1,20.0,1756.93
West Bengal,Burdwan,Tur (Arhar),Whole Year,Laterite,472.1,25.5,56.7,18.96,175.0,24.54,5592.84
Uttar Pradesh,Agra,Groundnut,Rabi,Desert (Arid),259.0,26.4,62.3,10.7,133.5,16.07,6581.7
Maharashtra,Nagpur,Bajra,Rabi,,346.4,24.4,71.5,5.86,107.5,4.71,2938.18
Punjab,Jalandhar,Jowar,Kharif,Mountain,271.3,,62.7,22.03,145.4,17.68,3743.57
,Junagadh,Potato,Whole Year,Laterite,268.2,31.0,74.2,8.89,184.7,20.94,675.07
Punjab,Bathinda,Potato,Zaid,Mountain,233.5,37.0,33.5,34.44,160.0,16.11,2076.12
Bihar,Darbhanga,Maize,Rabi,Alluvial,312.4,18.5,66.5,14.37,256.0,16.57,2103.37
Telangana,Karimnagar,Sugarcane,Zaid,Sandy Loam,109.1,37.6,43.7,29.82,22.2,1.12,454.09
Karnataka,Shimoga,Soybean,Whole Year,Laterite,541.2,26.5,68.9,9.02,234.0,8.04,3758.62
Bihar,Patna,Groundnut,Zaid,Mountain,181.1,32.7,48.7,5.97,241.8,23.58,7646.02
Punjab,Ludhiana,Cotton,Whole Year,Red,568.2,25.4,61.2,32.96,174.4,23.02,5207.02
Gujarat,Surat,Mustard,Kharif,Laterite,1654.6,28.8,84.1,25.41,166.3,9.34,3418.96
Telangana,Nizamabad,Soybean,Kharif,Desert (Arid),1008.4,32.5,77.8,22.74,98.5,20.36,5256.74
West Bengal,Hooghly,Chana (Gram),Zaid,Clay,156.6,37.1,53.9,47.13,37.8,20.08,7076.39
Andhra Pradesh,Kurnool,Potato,Zaid,Mountain,175.8,30.8,33.3,8.4,276.0,14.14,1760.91
Punjab,Bathinda,Jowar,Rabi,Mountain,380.4,20.3,69.3,14.33,179.4,6.39,2895.19
West Bengal,Murshidabad,Cotton,Whole Year,Desert (Arid),795.1,24.4,82.6,28.33,280.0,4.49,4636.76
Maharashtra,Kolhapur,Tomato,Rabi,Laterite,309.0,17.3,51.1,7.24,253.5,20.61,1117.75
Uttar Pradesh,Lucknow,Potato,Kharif,Sandy Loam,840.8,30.9,81.5,37.09,84.6,3.23,696.4
Bihar,Muzaffarpur,Rice,Rabi,Red,377.2,18.3,55.7,48.72,115.7,12.86,3057.0
Maharashtra,Kolhapur,Soybean,Zaid,Red,174.0,30.8,52.5,35.65,241.7,4.07,4654.19
West Bengal,Birbhum,Cotton,Rabi,Black (Regur),176.9,21.0,73.9,43.42,89.2,10.68,7209.47
Tamil Nadu,Salem,Soybean,Zaid,Mountain,124.0,32.0,57.8,,132.1,23.79,5275.15
Bihar,Patna,Maize,Rabi,Desert (Arid),428.4,17.4,56.1,18.4,169.6,0.55,2033.14
Madhya Pradesh,Jabalpur,Tomato,Zaid,Alluvial,115.6,34.9,41.9,2.65,264.0,11.68,2393.0
Punjab,Patiala,Groundnut,Kharif,Laterite,1318.2,27.4,84.3,27.05,34.2,7.82,3920.47
Andhra Pradesh,West Godavari,Bajra,Rabi,Clay,242.5,21.1,86.0,8.15,224.2,16.25,3053.4
Telangana,Nizamabad,Tur (Arhar),Whole Year,Black (Regur),471.4,28.5,61.4,36.47,282.1,15.23,4998.63
Gujarat,Rajkot,Bajra,Whole Year,Red,297.5,26.4,60.1,43.3,162.4,13.17,2153.6
Maharashtra,Kolhapur,Sugarcane,Zaid,Laterite,179.7,42.7,23.1,27.09,24.0,7.47,393.17
Bihar,Gaya,Bajra,Zaid,Black (Regur),148.9,30.7,51.7,23.28,200.6,8.4,2020.2
Tamil Nadu,Coimbatore,Sugarcane,Kharif,Black (Regur),776.3,26.9,70.5,24.8,177.9,10.93,298.51
Gujarat,Ahmedabad,Mustard,Zaid,Laterite,107.2,40.4,33.2,34.6,187.1,22.29,7020.64
Uttar Pradesh,Agra,Wheat,Rabi,Mountain,194.7,15.9,66.8,38.98,208.2,19.52,2744.04
Karnataka,Raichur,Groundnut,Kharif,Mountain,939.1,29.3,85.2,39.16,91.8,1.28,4029.49
Telangana,Medak,Rice,Kharif,Clay,466.1,31.5,79.9,24.74,61.9,9.28,2471.99
Uttar Pradesh,Agra,Tur (Arhar),Rabi,Red,226.8,18.5,44.0,21.29,56.0,1.45,8225.65
Uttar Pradesh,Agra,Chana (Gram),Kharif,Mountain,1099.6,33.4,54.6,0.7,27.5,5.28,4605.95
Karnataka,Shimoga,Onion,Zaid,Red,118.7,32.5,24.9,25.58,279.1,24.76,1922.57
West Bengal,Burdwan,Mustard,Zaid,Laterite,120.7,36.1,22.1,24.28,233.7,7.21,6560.42
Maharashtra,Pune,Tur (Arhar),Zaid,Mountain,161.3,37.1,56.2,36.36,178.9,10.34,8810.88
Tamil Nadu,Madurai,Tur (Arhar),Rabi,Laterite,159.5,14.4,34.4,39.56,252.1,3.86,6720.63
Tamil Nadu,Thanjavur,Potato,Zaid,Alluvial,179.4,36.9,42.4,13.86,206.3,10.26,1915.86
Telangana,Medak,Wheat,Whole Year,Alluvial,968.0,22.6,74.4,48.44,210.2,18.94,1762.77
Karnataka,Raichur,Rice,Kharif,Red,1173.8,30.7,77.0,8.28,288.3,6.68,1982.1
Madhya Pradesh,Jabalpur,Cotton,Whole Year,Clay,602.8,21.2,60.2,44.33,259.4,8.6,4683.82
Madhya Pradesh,Gwalior,Cotton,Kharif,Red,780.3,33.0,74.6,9.29,98.4,3.63,5852.65
Maharashtra,Pune,Chana (Gram),Rabi,Sandy Loam,411.9,25.2,55.7,44.08,250.4,24.81,4996.4
Punjab,Bathinda,Jowar,Whole Year,Black (Regur),792.9,28.9,69.0,44.87,127.6,10.3,2723.06
West Bengal,Burdwan,Tur (Arhar),Zaid,Sandy Loam,169.5,39.1,42.3,9.34,286.1,2.07,8121.99
Maharashtra,Pune,Jowar,Zaid,Red,211.3,28.9,35.2,9.12,214.4,4.89,4177.94
Rajasthan,Jaipur,Jowar,Zaid,Clay,167.2,33.5,62.4,29.78,243.2,24.42,3331.05
Maharashtra,Nagpur,Bajra,Kharif,Red,595.8,32.1,63.1,47.86,90.9,5.57,3198.81
Gujarat,Ahmedabad,Wheat,Zaid,Laterite,123.5,30.1,63.8,4.97,133.7,10.39,2907.24
Andhra Pradesh,West Godavari,Soybean,Kharif,Clay,883.9,28.9,91.7,44.04,213.3,4.71,4009.16
Karnataka,Belgaum,Rice,Kharif,Laterite,1183.6,32.9,63.1,8.07,33.4,15.16,2427.89
Rajasthan,Kota,Sugarcane,Kharif,Black (Regur),708.8,26.2,69.7,6.43,86.9,7.92,306.7
Maharashtra,Pune,Chana (Gram),Zaid,Red,214.2,38.4,47.2,47.41,86.9,10.47,5672.48
Karnataka,Shimoga,Cotton,Zaid,Mountain,166.1,37.2,31.1,21.85,93.9,13.62,8902.78
Maharashtra,Kolhapur,Chana (Gram),Rabi,Alluvial,435.9,19.2,48.4,17.55,143.3,12.01,4610.93
Gujarat,Vadodara,Onion,Rabi,Alluvial,194.5,21.3,53.1,48.1,246.7,23.98,2129.84
Telangana,Medak,Maize,Kharif,Alluvial,1025.9,32.8,63.0,3.91,234.2,19.76,1807.92
Uttar Pradesh,Lucknow,Sugarcane,Rabi,Alluvial,315.0,17.6,49.1,16.82,291.5,12.13,311.43
Punjab,Patiala,Bajra,Rabi,Black (Regur),276.3,21.7,63.6,19.07,217.8,14.16,2586.66
Rajasthan,Ajmer,Chana (Gram),Zaid,Laterite,185.4,30.8,34.4,19.81,251.7,1.89,5441.12
Gujarat,Vadodara,Tur (Arhar),Rabi,Mountain,143.7,18.9,50.9,26.86,179.5,16.15,7286.49
Gujarat,Junagadh,Wheat,Kharif,Alluvial,1148.0,27.5,77.8,44.16,70.5,3.96,2213.54
Maharashtra,Nashik,Groundnut,Kharif,Sandy Loam,678.6,31.4,76.7,32.29,264.6,6.53,3909.6
West Bengal,Burdwan,Potato,Zaid,Clay,151.1,35.0,38.1,2.1,145.6,17.26,2029.49
Rajasthan,Jodhpur,Bajra,Kharif,Laterite,952.2,30.7,90.6,35.7,248.5,7.93,2059.29
Tamil Nadu,Madurai,Sugarcane,Whole Year,Alluvial,558.8,27.6,68.4,1.65,42.2,8.74,290.76
West Bengal,Burdwan,Cotton,Zaid,Sandy Loam,223.8,37.7,34.7,28.25,120.9,1.59,8051.67
Andhra Pradesh,Krishna,Rice,Kharif,Laterite,708.8,27.4,81.1,20.73,297.8,10.13,2746.13
Karnataka,Dharwad,Onion,Rabi,Sandy Loam,260.4,16.7,50.2,32.01,298.6,1.32,2808.92
Tamil Nadu,Salem,,Kharif,Red,567.5,25.9,82.4,18.25,186.9,17.05,5289.5
Madhya Pradesh,Indore,Tur (Arhar),Kharif,Mountain,804.9,33.2,70.0,6.76,249.2,17.36,6080.28
Gujarat,Ahmedabad,Potato,Kharif,Sandy Loam,898.5,24.6,56.1,5.11,94.6,20.59,1148.09
Andhra Pradesh,Krishna,Wheat,Whole Year,Black (Regur),372.2,26.6,71.0,11.51,188.0,11.81,2177.59
Bihar,Muzaffarpur,Maize,Rabi,Red,193.3,21.0,56.0,36.65,224.1,5.44,2307.27
Rajasthan,Jaipur,Soybean,Zaid,Laterite,151.8,34.0,63.3,23.99,141.4,21.22,6238.76
Madhya Pradesh,Gwalior,Sugarcane,Whole Year,Clay,795.2,29.3,67.8,17.76,260.8,23.98,233.24
Gujarat,Ahmedabad,Wheat,Kharif,Mountain,937.9,24.1,71.2,21.28,184.4,1.13,1814.98
Bihar,Patna,Bajra,Rabi,Alluvial,377.9,23.0,64.3,11.78,209.2,1.72,2267.66
Bihar,Gaya,Wheat,Kharif,Red,824.1,37.3,62.8,17.83,166.2,24.32,1691.8
Karnataka,Dharwad,Sugarcane,Rabi,Alluvial,382.5,22.3,47.7,43.36,210.0,14.67,298.41
Karnataka,Raichur,Maize,Zaid,Red,65.4,30.3,34.4,8.97,209.6,1.11,3136.75
Andhra Pradesh,East Godavari,Jowar,Whole Year,Red,543.9,26.6,56.6,21.64,48.0,10.32,3188.78
Andhra Pradesh,West Godavari,Bajra,Rabi,Clay,401.6,18.0,62.7,33.13,149.9,7.67,2678.71
Maharashtra,Nagpur,Cotton,Kharif,Red,1146.7,31.6,69.0,25.2,65.5,24.08,4916.42
Karnataka,Raichur,Bajra,Whole Year,Laterite,380.7,27.3,65.1,12.65,228.6,23.66,1822.41
West Bengal,Nadia,Potato,Whole Year,Sandy Loam,678.0,25.1,61.5,39.32,65.4,24.45,1175.8
Bihar,Darbhanga,Onion,Whole Year,Sandy Loam,795.3,27.1,72.0,38.87,238.9,10.06,1775.56
West Bengal,Burdwan,Sugarcane,Rabi,Red,275.1,19.2,70.9,34.32,240.6,24.05,296.03
Maharashtra,Ahmednagar,Soybean,Kharif,Desert (Arid),463.4,29.6,67.1,23.81,122.1,15.79,4477.61
Gujarat,Vadodara,Cotton,Whole Year,Black (Regur),747.5,27.6,63.9,27.19,272.0,10.1,4102.5
Tamil Nadu,Coimbatore,Onion,Rabi,Black (Regur),313.4,20.4,40.6,35.87,151.5,21.4,986.54
Bihar,Darbhanga,Wheat,Zaid,Mountain,178.1,39.5,25.4,2.73,259.7,1.64,3576.22
Madhya Pradesh,Jabalpur,Mustard,Kharif,Black (Regur),772.5,32.1,89.6,24.65,48.6,21.88,3861.51
Telangana,Nalgonda,Onion,Zaid,Alluvial,222.3,33.3,30.7,8.42,129.8,2.98,1249.92
Andhra Pradesh,Kurnool,,Kharif,Black (Regur),1061.7,29.9,78.8,28.71,23.7,11.9,3284.25
West Bengal,Hooghly,Tur (Arhar),Zaid,Alluvial,180.2,34.4,42.8,28.78,68.1,23.56,8387.15
Karnataka,Belgaum,Chana (Gram),Kharif,Red,1076.0,28.7,67.8,7.21,209.9,12.01,3036.52
Gujarat,Vadodara,Rice,Zaid,Laterite,204.2,40.4,51.9,19.23,191.6,16.59,2898.51
Andhra Pradesh,West Godavari,Cotton,Kharif,Alluvial,1132.7,30.5,88.0,0.71,254.1,5.41,4886.97
Bihar,Bhagalpur,Chana (Gram),Kharif,Alluvial,921.3,29.8,71.7,25.6,117.2,18.31,4483.85
West Bengal,Murshidabad,Bajra,Whole Year,Alluvial,776.4,27.5,56.8,14.33,145.2,15.95,1775.17
Maharashtra,Ahmednagar,Tomato,Whole Year,Alluvial,701.8,25.5,59.1,44.48,43.6,17.58,767.0
West Bengal,Burdwan,Maize,Kharif,Red,774.6,29.9,59.9,9.02,150.1,10.76,1690.13
Gujarat,Junagadh,Soybean,Whole Year,Black (Regur),443.3,30.5,67.5,1.14,196.3,21.2,4035.25
Tamil Nadu,Coimbatore,Jowar,Whole Year,Clay,669.6,26.5,71.1,39.32,207.0,16.79,2328.12
Karnataka,Mysore,Chana (Gram),Rabi,Mountain,226.1,22.1,60.4,35.25,200.9,8.89,6541.37
Telangana,Medak,Jowar,Whole Year,Laterite,749.6,24.4,67.3,36.97,167.8,24.41,2844.66
Karnataka,Mysore,Tomato,Whole Year,Desert (Arid),741.4,25.7,58.9,22.31,212.8,20.93,1325.28
Telangana,Nalgonda,Chana (Gram),Kharif,Desert (Arid),769.6,32.0,80.3,14.33,231.2,13.18,5289.63
Maharashtra,Nashik,Mustard,Zaid,Laterite,139.2,34.9,55.3,27.36,167.4,6.56,5860.73
Karnataka,Shimoga,Tur (Arhar),Kharif,Desert (Arid),841.5,32.1,70.5,7.31,77.3,4.88,6591.71
Telangana,Nizamabad,Maize,Kharif,Laterite,1384.9,33.5,70.1,12.16,76.4,15.71,2003.77
Bihar,Patna,Rice,Whole Year,Alluvial,908.0,31.2,64.1,18.56,293.0,13.91,2057.51
Punjab,Amritsar,Tomato,Whole Year,Alluvial,500.2,20.0,68.4,37.56,90.6,16.26,2276.04
Madhya Pradesh,Jabalpur,Tomato,Kharif,Sandy Loam,575.3,27.6,67.8,29.72,43.0,4.44,2686.83
Uttar Pradesh,Meerut,Tur (Arhar),Zaid,Desert (Arid),270.5,33.4,42.9,10.73,182.2,15.83,8269.56
Madhya Pradesh,Indore,Jowar,Kharif,Laterite,1396.0,30.8,78.1,12.89,246.1,4.81,2217.13
Bihar,Patna,Onion,Whole Year,Clay,185.7,27.3,73.6,2.07,163.1,2.6,943.19
Madhya Pradesh,Indore,Sugarcane,Rabi,Desert (Arid),233.6,23.9,38.1,32.13,289.4,12.6,335.19
Tamil Nadu,Salem,Sugarcane,Kharif,Black (Regur),1000.2,32.8,83.5,47.72,143.8,13.34,270.09
Bihar,Muzaffarpur,Mustard,Zaid,Black (Regur),179.9,42.0,43.0,46.0,52.2,15.91,5524.87
Karnataka,Mysore,Maize,Zaid,Laterite,150.5,30.4,62.0,33.91,59.2,1.9,2705.17
Rajasthan,Kota,Onion,Rabi,Alluvial,199.4,17.8,59.5,31.8,53.7,16.53,1111.41
Madhya Pradesh,Indore,Maize,Zaid,Laterite,133.1,33.3,26.9,4.14,219.7,2.06,3163.54
Telangana,Warangal,Cotton,Kharif,Desert (Arid),1006.5,32.2,81.5,38.78,58.4,18.25,6610.54
Tamil Nadu,Madurai,Sugarcane,Kharif,Clay,918.8,30.3,77.4,36.49,171.5,13.47,233.47
Maharashtra,Nagpur,Tomato,Rabi,Desert (Arid),253.0,14.4,46.5,26.64,294.8,9.48,1846.33
Karnataka,Belgaum,Maize,Rabi,Black (Regur),293.6,22.3,82.4,4.01,186.7,18.25,2872.08
Andhra Pradesh,West Godavari,Chana (Gram),Kharif,Mountain,1354.3,28.1,80.2,11.62,121.0,23.76,4174.98
Rajasthan,Jodhpur,Cotton,Zaid,Red,187.9,34.0,34.8,28.78,246.4,15.46,6927.51
Andhra Pradesh,Kurnool,Wheat,Whole Year,Clay,718.5,25.9,78.3,25.14,140.0,12.77,2265.58
Karnataka,Belgaum,Mustard,Zaid,Alluvial,113.4,34.4,37.1,41.08,139.2,1.68,5620.86
Gujarat,Surat,Sugarcane,Rabi,Clay,175.0,21.3,49.0,4.26,227.4,24.16,290.54
Tamil Nadu,Tirunelveli,Mustard,Whole Year,Desert (Arid),753.8,27.8,62.5,20.4,50.6,14.97,4347.92
Punjab,Amritsar,Rice,Whole Year,Sandy Loam,668.9,24.9,43.4,14.85,59.4,0.63,1489.1
Andhra Pradesh,East Godavari,Rice,Kharif,Laterite,1195.5,32.6,68.2,3.37,173.9,9.88,1492.6
Rajasthan,Jodhpur,Rice,Zaid,Alluvial,113.2,35.3,46.1,48.91,98.3,8.02,3943.53
Uttar Pradesh,Meerut,Jowar,Whole Year,Desert (Arid),275.2,27.6,74.1,43.05,243.6,0.54,2679.45
Maharashtra,Pune,Rice,Kharif,Mountain,302.2,32.6,79.8,49.42,155.0,9.6,2104.9
Maharashtra,Kolhapur,Chana (Gram),Whole Year,Mountain,657.5,29.5,61.1,19.15,298.1,4.82,3517.23
Karnataka,Dharwad,Bajra,Rabi,Mountain,138.3,17.0,54.8,25.77,127.4,14.62,3398.46
Bihar,Darbhanga,Groundnut,Whole Year,Desert (Arid),368.2,32.2,75.9,47.86,269.7,8.36,5863.1
Telangana,Warangal,Mustard,Whole Year,Alluvial,556.2,29.9,79.5,12.61,267.1,1.42,3573.65
Bihar,Gaya,Tomato,Zaid,Laterite,110.5,32.8,32.5,4.71,124.7,18.74,2474.7
Rajasthan,Udaipur,Wheat,Kharif,Mountain,688.5,35.5,73.2,34.82,248.1,4.94,1814.7
Andhra Pradesh,West Godavari,Groundnut,Kharif,Desert (Arid),701.4,31.8,79.1,11.21,272.8,6.3,4579.41
Maharashtra,Nashik,Bajra,Whole Year,Alluvial,521.6,30.9,52.6,14.69,36.3,10.39,2924.43
Karnataka,Dharwad,Maize,Whole Year,Desert (Arid),313.0,24.3,72.3,3.3,143.4,19.31,2213.97
Rajasthan,Jodhpur,Tomato,Rabi,Black (Regur),122.9,22.6,61.8,1.82,21.5,10.29,2585.97
Rajasthan,Udaipur,,Rabi,Laterite,72.7,21.5,60.4,45.52,158.9,11.65,2174.31
Andhra Pradesh,Kurnool,Tur (Arhar),Kharif,Clay,1030.4,32.0,78.4,0.93,67.7,12.04,5105.29
Gujarat,Ahmedabad,Tomato,Zaid,Desert (Arid),116.4,32.2,32.4,27.88,253.7,10.05,1358.84
Tamil Nadu,Salem,Soybean,Whole Year,Black (Regur),692.0,28.3,61.3,5.74,46.6,16.65,3445.19
Madhya Pradesh,Jabalpur,Cotton,Kharif,Laterite,1103.4,35.7,84.6,3.37,138.6,0.51,5080.04
Bihar,Darbhanga,Onion,Rabi,Mountain,182.4,19.0,67.6,12.86,76.7,9.26,1381.38
Bihar,Gaya,Tur (Arhar),Kharif,Sandy Loam,657.2,30.0,59.5,17.62,83.1,21.72,5552.32
,Indore,Jowar,Whole Year,Desert (Arid),962.4,28.6,70.9,1.02,271.3,13.83,2582.83
Karnataka,Raichur,Wheat,Kharif,Red,966.0,32.5,83.3,35.77,160.4,15.18,1904.27
Tamil Nadu,Tirunelveli,Onion,Rabi,Alluvial,323.8,20.4,56.2,31.88,269.2,6.69,2198.11
Maharashtra,Pune,Chana (Gram),Whole Year,Laterite,593.8,22.9,67.5,26.94,186.5,1.5,4226.72
Tamil Nadu,Coimbatore,Chana (Gram),Rabi,Desert (Arid),334.2,24.2,67.5,4.22,210.6,12.73,4888.18
Andhra Pradesh,Krishna,Tur (Arhar),Whole Year,Laterite,605.5,29.9,73.4,45.21,84.2,19.77,5747.86
Rajasthan,Kota,Sugarcane,Kharif,Mountain,1112.3,28.0,94.8,27.67,21.2,24.86,272.12
Tamil Nadu,Salem,Sugarcane,Kharif,Alluvial,742.4,29.2,77.7,17.11,148.7,11.54,208.78
Uttar Pradesh,Lucknow,Soybean,Zaid,Desert (Arid),111.9,36.6,53.5,9.39,169.3,18.21,5511.59
Bihar,Patna,Mustard,Zaid,Red,155.3,34.4,52.3,5.71,55.2,7.39,6917.44
Gujarat,Vadodara,Tomato,Zaid,Clay,157.4,30.9,39.5,40.81,115.1,8.7,1569.28
Maharashtra,Nashik,Tomato,Rabi,Alluvial,328.8,20.8,55.8,8.68,124.6,12.28,920.28
Karnataka,Mysore,Cotton,Rabi,Black (Regur),480.7,16.2,57.5,20.09,294.2,4.94,5897.21
Telangana,Warangal,Soybean,Whole Year,Sandy Loam,777.8,27.5,56.2,31.94,241.9,7.0,2894.75
Telangana,Warangal,Tomato,Zaid,Black (Regur),244.0,35.4,31.8,6.9,279.2,4.47,1878.91
Gujarat,Vadodara,Potato,Kharif,Mountain,665.5,23.3,69.1,47.12,271.0,15.75,529.85
Bihar,Gaya,Bajra,Rabi,Mountain,289.9,20.6,53.2,16.94,152.0,16.09,2875.44
Madhya Pradesh,Indore,Cotton,Zaid,Clay,167.1,36.8,40.2,42.05,68.4,0.84,9932.85
Maharashtra,Pune,Mustard,Whole Year,Clay,438.8,28.3,64.1,3.98,180.2,23.15,3583.59
Madhya Pradesh,Jabalpur,Jowar,Whole Year,Laterite,674.1,19.5,70.5,40.11,67.4,18.77,3365.5
Karnataka,Dharwad,Mustard,Whole Year,Black (Regur),351.8,30.6,63.6,7.05,288.0,16.57,3840.19
Tamil Nadu,Madurai,Bajra,Zaid,Clay,125.9,33.8,46.0,7.92,197.5,21.78,3299.44
Telangana,Nizamabad,Sugarcane,Rabi,Sandy Loam,276.6,19.6,40.3,38.67,282.2,20.26,334.27
Uttar Pradesh,Allahabad,Cotton,Rabi,Red,255.4,19.1,67.3,15.24,111.3,21.59,8706.02
Maharashtra,Nashik,Groundnut,Rabi,Red,277.7,18.3,60.5,4.16,82.9,2.72,5810.09
Telangana,Nalgonda,Tur (Arhar),Kharif,Red,869.4,28.6,71.8,44.04,49.8,12.35,4949.16
Maharashtra,Nagpur,Tur (Arhar),Zaid,Red,172.2,29.8,48.5,2.79,22.2,20.72,9405.74
West Bengal,Burdwan,Wheat,Kharif,Laterite,520.6,27.4,76.3,33.96,153.3,22.49,2241.61
Uttar Pradesh,Agra,Mustard,Kharif,Clay,829.8,33.0,79.9,16.24,228.5,4.09,3605.61
West Bengal,Birbhum,Onion,Whole Year,Laterite,504.9,31.4,87.8,44.69,61.1,12.84,1236.33
West Bengal,Nadia,Tur (Arhar),Rabi,Alluvial,327.1,16.3,49.9,36.75,95.1,16.69,6318.06
Maharashtra,Pune,Chana (Gram),Kharif,Mountain,932.4,28.7,61.9,17.74,88.1,5.87,3874.88
Punjab,Patiala,Rice,Rabi,Sandy Loam,319.5,20.2,45.6,5.41,211.1,15.91,2494.34
Punjab,Jalandhar,Bajra,Zaid,Alluvial,234.3,35.3,58.5,25.82,77.6,6.82,2995.93
Punjab,Ludhiana,Jowar,Kharif,Mountain,1159.4,34.3,66.3,28.33,214.2,0.5,3212.87
Madhya Pradesh,Gwalior,Onion,Zaid,Mountain,88.3,36.8,58.3,36.36,,2.31,2787.52
Rajasthan,Udaipur,Soybean,Zaid,Red,164.2,,42.3,39.18,89.8,20.61,5524.31
Maharashtra,Pune,Sugarcane,Kharif,Clay,1238.1,31.3,79.2,16.02,240.0,1.66,288.94
Maharashtra,Pune,Tomato,Zaid,Sandy Loam,,36.5,42.8,16.13,213.6,8.01,1530.82
Punjab,Bathinda,Wheat,Whole Year,Alluvial,814.8,24.3,72.0,12.55,104.2,10.9,1975.0
Andhra Pradesh,West Godavari,Tur (Arhar),Kharif,Clay,1028.4,29.9,87.0,30.38,119.2,5.1,5307.48
West Bengal,Birbhum,Bajra,Zaid,Black (Regur),182.2,36.3,37.4,22.19,287.5,5.39,3560.47
Gujarat,Surat,Wheat,Kharif,Red,1289.3,28.7,73.3,37.83,256.9,9.02,1910.6
Karnataka,Shimoga,Potato,Whole Year,Clay,543.9,27.2,78.9,28.86,191.1,13.95,791.21
Tamil Nadu,Coimbatore,Tur (Arhar),Kharif,Black (Regur),771.6,30.8,95.1,1.82,156.8,14.52,5616.23
Telangana,Karimnagar,Soybean,Whole Year,Black (Regur),446.8,25.3,47.6,40.46,167.3,5.99,2954.8
Uttar Pradesh,Agra,Maize,Rabi,Red,138.7,17.4,61.1,44.49,128.6,21.21,2377.76
Punjab,Patiala,Tur (Arhar),Whole Year,Alluvial,734.1,25.4,59.8,35.97,236.2,24.4,5033.46
Karnataka,Shimoga,Jowar,Kharif,Desert (Arid),979.3,31.7,84.8,18.29,252.0,6.97,2582.24
Punjab,Patiala,Chana (Gram),Rabi,Red,311.8,21.2,48.8,33.87,218.6,20.67,4990.27
Madhya Pradesh,Gwalior,Sugarcane,Whole Year,Clay,614.8,20.5,86.4,22.04,159.5,24.69,255.24
Karnataka,Mysore,Potato,Whole Year,Mountain,286.8,28.3,85.0,13.12,166.1,0.87,619.84
Punjab,Jalandhar,Chana (Gram),Kharif,Red,916.9,33.7,62.6,31.95,188.4,4.01,4372.99
Uttar Pradesh,Varanasi,Tur (Arhar),Zaid,Desert (Arid),82.6,35.3,47.6,3.18,131.0,22.56,7536.8
Uttar Pradesh,Allahabad,Jowar,Kharif,Black (Regur),1200.6,35.4,63.2,10.45,239.0,16.96,2221.86
Telangana,Warangal,Tur (Arhar),Zaid,Red,150.3,38.6,25.1,48.3,152.0,2.55,7518.73
Karnataka,Belgaum,Groundnut,Zaid,Red,132.3,34.1,36.9,31.02,156.0,3.23,6093.67
West Bengal,Nadia,Bajra,Rabi,Black (Regur),223.4,18.9,29.3,15.24,299.0,6.16,2144.28
Uttar Pradesh,Varanasi,Soybean,Kharif,Sandy Loam,1186.5,32.7,67.7,31.13,172.5,1.38,2753.47
Punjab,Jalandhar,Tur (Arhar),Whole Year,Red,647.9,27.0,54.3,10.28,124.2,19.62,5725.3
West Bengal,Birbhum,Tomato,Zaid,Mountain,76.9,37.9,39.8,1.3,217.4,6.65,1100.37
Rajasthan,Jodhpur,Chana (Gram),Kharif,Red,759.5,28.7,66.8,38.48,253.8,10.24,3864.67
Punjab,Bathinda,Potato,Kharif,Sandy Loam,734.1,27.1,63.6,3.06,242.8,16.32,542.75
Karnataka,Raichur,Sugarcane,Zaid,Sandy Loam,143.5,33.9,40.6,22.78,286.0,11.25,336.2
Karnataka,Raichur,Bajra,Zaid,Clay,181.5,36.0,60.0,18.61,34.6,4.69,3666.91
Gujarat,Ahmedabad,Soybean,Kharif,Desert (Arid),763.1,30.2,77.7,27.69,239.2,4.49,2806.68
West Bengal,Hooghly,Bajra,Rabi,Desert (Arid),456.4,20.3,40.5,47.63,273.8,18.86,3397.24
Rajasthan,Ajmer,Potato,Zaid,Alluvial,179.6,32.8,48.6,25.71,214.8,2.1,873.94
Telangana,Warangal,Tur (Arhar),Kharif,Clay,918.1,30.0,81.5,26.17,287.9,23.17,5405.04
West Bengal,Birbhum,Cotton,Zaid,Alluvial,187.6,32.7,53.4,28.04,169.2,23.16,6485.81
Maharashtra,Nagpur,Potato,Kharif,Laterite,1291.1,30.7,85.2,4.12,245.3,21.15,1072.02
Rajasthan,Kota,Cotton,Rabi,Clay,225.4,19.7,45.9,41.66,110.9,23.39,6774.4
Tamil Nadu,Salem,Onion,Zaid,Mountain,65.8,29.9,62.5,38.8,137.9,6.91,2347.22
