State,District,Crop,Season,Soil_Type,Rainfall_mm,Temperature_C,Humidity_pct,Area_hectares,Fertilizer_kg_per_hectare,Pesticide_kg_per_hectare,Yield_ton_per_hectare
Bihar,Bhagalpur,Jowar,Rabi,Mountain,140.9,20.3,58.1,1.16,237.8,4.79,0.41
Madhya Pradesh,Indore,Wheat,Kharif,Clay,1114.7,28.8,91.6,39.03,295.4,16.66,7.47
Andhra Pradesh,West Godavari,Mustard,Zaid,Red,199.4,31.0,52.8,22.83,147.8,8.31,0.54
Andhra Pradesh,West Godavari,Sugarcane,Kharif,Clay,602.6,29.9,70.3,5.28,37.3,1.95,33.65
Telangana,Nizamabad,Bajra,Whole Year,Mountain,895.3,32.3,67.0,37.05,269.0,18.44,1.79
Karnataka,Belgaum,Groundnut,Rabi,Laterite,207.6,17.3,42.1,8.88,26.7,7.86,0.65
Telangana,Nizamabad,Cotton,Kharif,Mountain,1081.4,25.5,92.1,31.91,27.7,13.03,0.97
West Bengal,Hooghly,Tomato,Zaid,Black (Regur),141.6,34.7,45.2,43.29,92.7,11.55,4.38
West Bengal,Nadia,Sugarcane,Whole Year,Clay,583.0,25.3,59.3,25.04,298.5,19.94,97.32
Madhya Pradesh,Ujjain,Rice,Kharif,Laterite,1244.6,25.7,49.4,30.69,79.3,6.02,3.01
Maharashtra,Pune,Mustard,Zaid,Black (Regur),163.0,34.2,32.4,30.53,52.5,5.34,0.47
Madhya Pradesh,Bhopal,Potato,Rabi,Alluvial,309.1,15.8,51.6,20.16,88.3,13.65,7.59
Gujarat,Surat,Groundnut,Kharif,Red,469.1,33.4,63.4,48.68,155.3,4.86,1.48
Punjab,Patiala,Jowar,Whole Year,Black (Regur),683.4,19.5,69.0,16.88,104.4,8.5,0.46
Uttar Pradesh,Lucknow,Onion,Kharif,Laterite,545.7,29.4,80.1,15.09,285.5,3.6,18.21
Telangana,Nizamabad,Sugarcane,Zaid,Red,184.5,35.2,29.0,28.67,57.7,20.0,19.71
Tamil Nadu,Madurai,Jowar,Zaid,Red,131.0,34.4,46.3,34.04,41.5,5.61,0.32
West Bengal,Nadia,Tur (Arhar),Kharif,Sandy Loam,891.7,22.5,88.2,22.58,186.0,11.62,1.43
Telangana,Karimnagar,Maize,Whole Year,Red,712.8,27.6,78.2,7.83,130.4,21.88,2.21
Gujarat,Ahmedabad,Maize,Whole Year,Desert (Arid),351.4,27.5,55.7,20.37,193.5,11.09,1.49
West Bengal,Birbhum,Onion,Zaid,Red,117.2,37.4,40.8,28.54,85.0,3.62,4.64
Karnataka,Raichur,Groundnut,Rabi,Clay,372.8,22.4,61.1,37.65,162.9,5.42,1.21
Maharashtra,Ahmednagar,Jowar,Zaid,Desert (Arid),130.2,34.7,61.0,41.86,171.6,5.98,0.27
Telangana,Medak,Onion,Zaid,Alluvial,89.9,39.1,45.4,4.19,76.8,22.78,5.07
West Bengal,Hooghly,Sugarcane,Whole Year,Sandy Loam,403.2,23.8,63.6,5.88,293.8,4.54,41.17
Bihar,Gaya,Wheat,Rabi,Red,295.0,19.9,58.8,8.16,240.5,1.99,3.09
Karnataka,Belgaum,Tomato,Zaid,Clay,81.3,35.6,38.2,35.9,26.3,2.18,7.19
Maharashtra,Nagpur,Wheat,Kharif,Red,901.3,25.0,88.5,43.62,112.7,2.03,4.43
Maharashtra,Ahmednagar,Groundnut,Kharif,Sandy Loam,1249.3,25.6,77.3,42.95,98.6,9.59,1.35
Bihar,Darbhanga,Groundnut,Rabi,Black (Regur),396.8,23.0,58.0,33.08,165.1,1.53,1.21
West Bengal,Birbhum,Mustard,Whole Year,Red,314.0,25.4,76.7,41.29,116.1,,0.57
Telangana,Warangal,Chana (Gram),Zaid,Desert (Arid),200.2,32.2,37.0,48.47,130.7,7.82,0.42
Andhra Pradesh,Kurnool,Potato,Kharif,Black (Regur),894.0,33.1,85.5,4.54,298.2,0.72,44.05
Karnataka,Raichur,Tomato,Kharif,Red,1252.8,35.9,73.0,35.98,105.7,22.38,13.75
Madhya Pradesh,Ujjain,Wheat,Rabi,Clay,123.7,22.3,68.0,11.14,21.9,6.89,1.52
Andhra Pradesh,East Godavari,Groundnut,Kharif,Alluvial,531.6,26.0,73.4,39.83,194.5,19.14,1.2
Tamil Nadu,Thanjavur,Maize,Kharif,Laterite,1083.7,35.8,74.3,17.0,71.9,23.87,2.18
Andhra Pradesh,East Godavari,Tomato,Whole Year,Black (Regur),501.1,28.9,73.5,39.21,105.2,14.68,15.5
Maharashtra,Nashik,Potato,Zaid,Black (Regur),177.9,38.6,46.1,10.19,174.1,24.89,10.58
Telangana,Warangal,Sugarcane,Kharif,Black (Regur),1001.4,23.8,84.4,36.25,111.1,4.63,68.11
Andhra Pradesh,Kurnool,Rice,Zaid,Mountain,87.1,34.4,66.0,5.98,81.4,5.16,0.69
Telangana,Warangal,Rice,Whole Year,Red,806.4,30.5,58.9,5.22,166.0,3.52,4.98
Karnataka,Shimoga,Maize,Zaid,Black (Regur),71.8,33.3,42.8,30.22,294.4,9.95,1.94
Tamil Nadu,Salem,Maize,Kharif,Mountain,1135.1,33.5,88.8,12.25,210.9,18.82,5.48
Punjab,Patiala,Rice,Kharif,Sandy Loam,875.4,28.7,69.6,30.98,138.0,11.14,5.36
Maharashtra,Nashik,Soybean,Whole Year,Alluvial,562.0,24.3,61.5,27.41,187.5,15.93,1.87
Madhya Pradesh,Gwalior,Groundnut,Whole Year,Black (Regur),365.5,33.9,47.8,29.04,193.8,13.32,1.52
Gujarat,Junagadh,Soybean,Rabi,Clay,343.6,22.8,60.3,21.31,147.7,13.23,0.62
Tamil Nadu,Thanjavur,Bajra,Kharif,Laterite,1186.8,29.7,76.1,17.15,118.4,23.8,1.06
West Bengal,Hooghly,Sugarcane,Rabi,Desert (Arid),88.6,15.4,65.0,8.47,186.4,10.3,35.23
Gujarat,Surat,Tur (Arhar),Whole Year,Desert (Arid),234.1,21.6,58.7,12.19,61.8,15.9,0.27
Karnataka,Dharwad,Jowar,Zaid,Red,50.0,35.6,59.4,,68.4,15.35,0.25
Andhra Pradesh,West Godavari,Jowar,Rabi,Alluvial,301.4,24.3,51.0,2.28,106.3,15.42,0.56
Maharashtra,Kolhapur,Chana (Gram),Zaid,Clay,96.9,37.1,38.1,25.34,254.7,6.93,0.73
Bihar,Patna,Onion,Kharif,Alluvial,1263.7,33.0,55.4,34.05,115.8,16.64,14.75
Bihar,Muzaffarpur,Onion,Whole Year,Red,579.9,29.3,72.4,39.55,246.0,9.61,17.84
Rajasthan,Jaipur,Tur (Arhar),Kharif,Desert (Arid),1099.0,29.8,80.1,37.43,53.3,19.15,0.53
Punjab,Jalandhar,Bajra,Rabi,Mountain,319.1,17.3,61.1,9.69,179.6,22.87,0.44
Maharashtra,Pune,Onion,Kharif,Laterite,547.4,25.3,57.5,22.29,64.0,3.56,9.64
Tamil Nadu,Coimbatore,Soybean,Rabi,Laterite,244.5,20.2,49.5,44.87,167.0,7.28,0.53
Gujarat,Ahmedabad,Tur (Arhar),Whole Year,Black (Regur),622.1,31.7,70.3,24.19,118.6,12.84,0.71
Gujarat,Ahmedabad,Jowar,Whole Year,Desert (Arid),497.2,25.7,69.1,44.39,154.1,4.68,0.7
Gujarat,Surat,Jowar,Zaid,Red,157.0,36.3,40.3,34.65,201.4,12.97,0.34
Bihar,Muzaffarpur,Chana (Gram),Rabi,Laterite,250.6,21.6,69.8,1.19,264.6,3.01,0.89
Rajasthan,Udaipur,Cotton,Kharif,Sandy Loam,999.8,35.5,82.5,37.9,162.0,11.03,3.01
Punjab,Amritsar,Maize,Zaid,Red,252.6,32.4,32.2,42.49,175.0,14.77,1.59
Madhya Pradesh,Jabalpur,Cotton,Zaid,Mountain,184.8,38.5,32.3,44.7,235.3,8.89,0.75
West Bengal,Birbhum,Tur (Arhar),Kharif,Sandy Loam,598.5,27.1,82.3,22.57,273.5,19.81,1.32
Bihar,Darbhanga,Sugarcane,Kharif,Laterite,751.8,23.3,69.9,37.72,64.0,23.28,38.43
Punjab,Bathinda,Chana (Gram),Rabi,Laterite,388.9,21.2,64.3,11.72,244.2,20.59,0.48
,Ajmer,Onion,Kharif,Red,1312.5,36.3,76.3,47.21,292.1,22.77,24.03
Karnataka,Raichur,Chana (Gram),Rabi,Laterite,116.3,24.2,44.2,49.92,254.7,5.93,0.71
Andhra Pradesh,Kurnool,Soybean,Zaid,Black (Regur),174.6,37.3,58.5,14.1,147.3,6.58,0.58
Bihar,Gaya,Sugarcane,Kharif,Clay,1055.3,33.8,50.0,43.68,294.1,24.01,122.8
West Bengal,Nadia,Tomato,Zaid,Clay,189.4,36.8,48.3,21.08,125.8,7.64,6.39
Tamil Nadu,Salem,Potato,Rabi,Red,409.4,15.1,59.0,18.83,166.1,18.38,13.11
Punjab,Amritsar,Sugarcane,Whole Year,Laterite,907.2,26.5,70.8,29.36,212.2,22.84,104.53
Punjab,Bathinda,Chana (Gram),Zaid,Desert (Arid),168.6,32.7,56.4,40.84,97.4,24.83,0.33
Gujarat,Rajkot,Onion,Rabi,Sandy Loam,242.0,21.0,53.8,41.67,131.1,1.89,7.19
Maharashtra,Pune,Potato,Kharif,Laterite,1285.4,32.6,59.7,19.39,142.3,15.16,36.96
West Bengal,Murshidabad,Tur (Arhar),Kharif,Mountain,957.2,28.6,81.0,25.07,178.7,11.81,1.0
Maharashtra,Nagpur,Jowar,Rabi,Red,356.7,22.1,36.5,17.33,125.3,17.82,0.32
Telangana,Nizamabad,Maize,Rabi,Laterite,178.5,16.3,57.2,28.92,281.4,16.56,0.9
West Bengal,Birbhum,Mustard,Zaid,Sandy Loam,112.8,29.9,46.8,12.46,273.8,24.79,0.97
Telangana,Warangal,Soybean,Kharif,Mountain,1194.7,31.2,64.2,48.46,143.0,12.65,1.14
Punjab,Ludhiana,Onion,Zaid,Red,212.2,31.3,37.4,24.07,98.8,10.3,5.66
Karnataka,Belgaum,Jowar,Rabi,Sandy Loam,408.5,15.0,60.1,14.87,262.2,23.96,0.7
Uttar Pradesh,Varanasi,Mustard,Whole Year,Alluvial,436.2,30.4,76.3,39.73,161.7,4.83,1.08
Karnataka,Belgaum,Soybean,Rabi,Sandy Loam,433.2,18.9,47.5,32.59,244.9,7.19,0.93
West Bengal,Nadia,Jowar,Zaid,Mountain,75.0,33.9,35.9,37.1,285.2,12.71,0.55
Gujarat,Vadodara,Soybean,Whole Year,Desert (Arid),632.4,34.9,70.2,37.86,172.2,19.55,1.15
Bihar,Gaya,Cotton,Rabi,Clay,273.3,20.8,59.6,40.96,149.1,2.48,0.94
Punjab,Ludhiana,Potato,Zaid,Black (Regur),166.2,33.8,44.5,16.68,142.4,18.58,12.2
Uttar Pradesh,Allahabad,Mustard,Whole Year,Red,770.1,29.3,39.7,9.92,107.9,23.44,1.05
West Bengal,Murshidabad,Tur (Arhar),Kharif,Sandy Loam,824.1,37.6,83.7,6.13,232.1,24.16,0.66
Bihar,Patna,Potato,Rabi,Desert (Arid),328.0,24.2,48.4,16.39,265.7,16.72,13.86
Karnataka,Dharwad,Onion,Kharif,Sandy Loam,631.0,31.8,68.6,21.46,292.5,0.85,15.87
Madhya Pradesh,Bhopal,Soybean,Whole Year,Desert (Arid),635.3,26.8,76.4,10.26,144.8,23.65,1.12
Tamil Nadu,Coimbatore,Wheat,Zaid,Clay,140.8,32.7,55.2,12.22,112.1,15.44,1.27
Telangana,Medak,Rice,Kharif,Sandy Loam,713.4,28.9,55.1,1.25,274.2,23.78,2.46
Rajasthan,Ajmer,Jowar,Rabi,Desert (Arid),233.6,14.5,62.6,10.52,41.6,17.46,0.26
Tamil Nadu,Madurai,Tur (Arhar),Whole Year,Sandy Loam,793.4,32.1,70.3,44.18,298.8,10.39,1.41
West Bengal,Nadia,Groundnut,Whole Year,Laterite,367.7,26.8,54.7,9.42,228.5,17.6,1.23
Uttar Pradesh,Agra,Sugarcane,Rabi,Laterite,367.9,18.2,70.3,21.07,187.6,21.93,36.12
Gujarat,Vadodara,Wheat,Kharif,Desert (Arid),851.3,30.8,66.3,47.89,203.9,15.84,3.72
Tamil Nadu,Tirunelveli,Onion,Rabi,Sandy Loam,444.7,19.3,38.7,2.23,69.9,20.33,6.29
Maharashtra,Nashik,Tur (Arhar),Whole Year,Desert (Arid),720.4,27.1,49.4,26.73,181.9,17.39,1.06
Telangana,Nizamabad,Cotton,Kharif,Clay,1437.4,29.2,69.8,10.14,85.2,15.66,1.09
Bihar,Muzaffarpur,Groundnut,Zaid,Clay,104.7,38.1,61.6,17.43,139.7,15.21,0.49
Gujarat,Rajkot,Bajra,Kharif,Red,843.1,29.1,69.2,48.88,261.5,0.64,2.0
Gujarat,Vadodara,Chana (Gram),Zaid,Black (Regur),184.3,30.9,34.9,48.22,55.3,11.64,0.26
Uttar Pradesh,Agra,,Whole Year,Alluvial,818.2,28.0,63.9,45.92,281.2,22.69,2.38
Gujarat,Rajkot,Maize,Zaid,Laterite,176.2,33.3,48.5,14.54,192.4,22.68,1.57
Punjab,Ludhiana,Tomato,Kharif,Red,1114.9,30.2,83.4,26.98,134.1,8.68,14.66
Madhya Pradesh,Jabalpur,Potato,Zaid,Mountain,119.1,39.5,60.6,11.36,204.0,3.74,7.31
West Bengal,Birbhum,Soybean,Zaid,Black (Regur),183.9,33.3,25.3,44.15,107.5,15.99,0.46
Bihar,Patna,Wheat,Whole Year,Clay,632.7,28.8,83.7,4.66,187.8,21.52,4.85
Rajasthan,Udaipur,Tur (Arhar),Rabi,Black (Regur),294.3,23.4,79.2,11.14,143.8,3.16,0.35
Bihar,Bhagalpur,Tur (Arhar),Rabi,Clay,491.4,19.2,45.9,43.94,32.5,19.46,0.27
Karnataka,Dharwad,Potato,Zaid,Alluvial,204.5,39.3,34.5,8.9,192.0,8.75,15.16
Telangana,Medak,Chana (Gram),Kharif,Sandy Loam,926.7,31.0,76.5,4.49,180.0,18.85,1.17
Karnataka,Dharwad,Onion,Zaid,Clay,97.4,38.1,37.4,33.03,90.6,19.3,4.77
Madhya Pradesh,Ujjain,Tomato,Kharif,Red,1169.4,32.8,80.3,1.48,59.7,1.29,16.23
Gujarat,Ahmedabad,Tur (Arhar),Rabi,Clay,361.3,17.6,58.6,33.9,258.8,7.21,0.53
West Bengal,Birbhum,Cotton,Whole Year,Alluvial,617.0,19.7,45.1,38.4,217.4,22.15,2.44
Tamil Nadu,Coimbatore,Mustard,Rabi,Alluvial,89.7,19.5,49.8,5.6,279.9,12.46,1.15
Gujarat,Surat,Wheat,Zaid,Mountain,124.1,38.9,48.7,46.23,287.7,24.22,1.57
Karnataka,Mysore,Soybean,Kharif,Mountain,1027.2,25.0,79.3,31.16,108.0,7.88,0.97
Telangana,Medak,Tomato,Zaid,Sandy Loam,201.7,35.7,42.1,11.29,63.0,5.68,3.82
Telangana,Medak,Cotton,Rabi,Desert (Arid),425.5,15.9,40.3,47.68,238.0,19.9,1.03
Bihar,Darbhanga,Jowar,Zaid,Desert (Arid),156.0,36.0,28.4,2.37,44.3,1.04,0.16
Punjab,Patiala,Tur (Arhar),Zaid,Mountain,88.5,35.1,39.0,42.06,60.9,7.91,0.23
Andhra Pradesh,East Godavari,Tur (Arhar),Kharif,Desert (Arid),735.5,25.0,78.2,33.45,60.4,7.1,0.68
Tamil Nadu,Coimbatore,Maize,Rabi,Black (Regur),388.3,19.0,51.3,32.6,40.9,3.04,0.9
Tamil Nadu,Madurai,Bajra,Rabi,Clay,275.3,24.1,47.1,15.7,224.7,7.51,0.9
Madhya Pradesh,Gwalior,Sugarcane,Whole Year,Red,613.6,25.0,53.3,32.9,75.5,7.29,43.23
Telangana,Nizamabad,Jowar,Kharif,Sandy Loam,1004.5,31.1,66.6,44.45,257.7,6.12,1.81
Maharashtra,Nashik,Bajra,Rabi,Sandy Loam,372.5,18.9,47.0,40.96,32.6,9.31,0.42
Karnataka,Raichur,Mustard,Kharif,Sandy Loam,982.6,31.1,64.8,37.55,296.1,5.07,2.53
Madhya Pradesh,Bhopal,Onion,Kharif,Clay,602.6,24.3,89.3,40.83,65.5,16.31,11.97
Gujarat,Junagadh,Bajra,Kharif,Mountain,1024.8,25.1,92.3,32.78,222.0,4.05,2.04
Bihar,Bhagalpur,Soybean,Zaid,Mountain,154.6,34.6,47.2,22.09,191.3,2.51,0.51
Telangana,Nalgonda,Sugarcane,Zaid,Mountain,107.9,33.2,47.0,23.92,241.3,13.06,22.61
Bihar,Patna,Rice,Kharif,Alluvial,982.9,30.4,80.7,10.16,171.0,11.79,7.86
Uttar Pradesh,Allahabad,Wheat,Whole Year,Mountain,483.0,22.9,65.4,43.28,240.5,23.41,2.85
Gujarat,Surat,Wheat,Whole Year,Black (Regur),605.9,26.1,55.9,45.87,43.8,18.29,2.08
Gujarat,Vadodara,Onion,Whole Year,Laterite,940.3,24.1,63.5,27.42,292.0,16.59,26.03
West Bengal,Hooghly,Groundnut,Rabi,Laterite,378.3,26.2,46.1,34.64,70.2,15.24,0.78
Punjab,Patiala,Mustard,Whole Year,Mountain,642.4,23.4,66.5,2.19,113.4,22.01,0.57
Rajasthan,Kota,Potato,Zaid,Laterite,185.0,36.8,29.0,47.49,157.7,18.75,6.54
Telangana,Nizamabad,Cotton,Kharif,Mountain,1231.6,29.5,63.3,25.5,117.6,19.78,1.65
Madhya Pradesh,Ujjain,Onion,Whole Year,Clay,510.2,27.9,54.0,23.51,288.1,22.43,11.95
Maharashtra,Nashik,Potato,Zaid,Clay,118.7,33.5,45.8,14.15,268.4,1.31,12.71
Maharashtra,Nashik,Tur (Arhar),Kharif,Sandy Loam,742.3,32.5,66.1,4.27,158.1,5.2,0.71
West Bengal,Burdwan,Cotton,Whole Year,Clay,585.3,26.4,61.0,4.75,234.6,6.58,2.42
Rajasthan,Udaipur,Chana (Gram),Whole Year,Desert (Arid),575.1,28.7,71.6,21.07,261.8,22.27,0.9
Telangana,Karimnagar,Potato,Whole Year,Clay,367.1,24.3,85.4,21.01,201.9,12.34,14.11
Andhra Pradesh,West Godavari,Bajra,Rabi,Black (Regur),397.1,26.4,41.0,30.53,225.0,13.17,0.63
Andhra Pradesh,East Godavari,Cotton,Zaid,Clay,138.0,31.1,37.8,1.1,47.2,11.56,0.76
West Bengal,Burdwan,Mustard,Zaid,Desert (Arid),194.7,32.3,55.4,45.5,154.4,19.25,0.52
Maharashtra,Ahmednagar,Groundnut,Whole Year,Desert (Arid),474.8,28.8,58.0,43.72,85.1,22.42,0.58
Telangana,Warangal,Soybean,Kharif,Laterite,726.1,30.2,59.3,17.08,192.4,1.43,1.21
Maharashtra,Nagpur,Maize,Whole Year,Desert (Arid),608.5,28.1,49.5,37.32,211.9,7.27,3.63
West Bengal,Hooghly,Bajra,Rabi,Desert (Arid),328.4,22.0,55.9,34.56,106.4,4.22,0.23
Tamil Nadu,Madurai,Jowar,Kharif,Red,276.6,27.7,81.8,27.85,281.9,21.79,0.8
Madhya Pradesh,Jabalpur,,Kharif,Mountain,1007.4,29.5,77.8,1.02,234.1,2.58,3.01
West Bengal,Hooghly,Onion,Rabi,Clay,295.0,21.6,57.4,23.15,299.0,9.26,8.62
Tamil Nadu,Thanjavur,Wheat,Kharif,Sandy Loam,725.4,35.3,86.8,30.3,252.9,10.37,2.78
Andhra Pradesh,West Godavari,Bajra,Rabi,Alluvial,410.5,18.3,57.9,21.3,199.9,6.84,0.73
Bihar,Gaya,Tur (Arhar),Whole Year,Black (Regur),545.5,28.3,66.9,,150.7,12.09,0.87
Tamil Nadu,Thanjavur,Tur (Arhar),Rabi,Laterite,319.0,19.3,40.4,40.57,148.1,10.66,0.3
Madhya Pradesh,Ujjain,Mustard,Kharif,Alluvial,913.4,26.4,72.4,3.39,238.3,5.68,2.72
Punjab,Amritsar,Chana (Gram),Kharif,Laterite,725.2,30.5,90.8,1.15,156.3,20.41,0.97
Andhra Pradesh,Krishna,Tomato,Zaid,Alluvial,172.3,32.1,48.7,8.92,109.8,21.98,5.8
Maharashtra,Nagpur,Tomato,Rabi,Desert (Arid),263.4,17.8,59.7,36.62,236.4,9.13,12.33
Madhya Pradesh,Jabalpur,Onion,Whole Year,Clay,457.7,26.4,66.1,37.61,121.4,14.37,13.07
Telangana,Nizamabad,Potato,Whole Year,Mountain,286.5,28.2,63.2,43.14,251.1,21.6,13.84
Andhra Pradesh,Guntur,Mustard,Kharif,Desert (Arid),675.2,30.6,72.4,38.63,265.0,14.72,0.75
Maharashtra,Ahmednagar,Wheat,Kharif,Red,784.7,32.1,73.2,40.43,158.2,4.7,3.51
West Bengal,Burdwan,Maize,Rabi,Laterite,375.6,16.8,57.3,39.42,141.9,22.39,1.1
West Bengal,Birbhum,Onion,Kharif,Sandy Loam,850.1,25.8,67.0,,207.6,20.48,29.42
Karnataka,Shimoga,Soybean,Whole Year,Clay,322.2,26.3,55.7,9.31,80.1,21.23,0.47
Uttar Pradesh,Allahabad,Onion,Whole Year,Laterite,827.7,29.8,64.8,41.21,48.1,13.03,14.7
Karnataka,Mysore,Tomato,Whole Year,Laterite,459.6,26.1,52.7,42.4,164.8,14.33,19.65
Gujarat,Junagadh,Potato,Whole Year,Alluvial,619.4,28.2,54.2,14.99,293.3,13.85,23.89
Gujarat,Junagadh,Mustard,Kharif,Sandy Loam,946.5,31.3,78.5,1.52,268.7,4.76,2.22
Uttar Pradesh,Meerut,Tur (Arhar),Whole Year,Mountain,542.9,25.2,56.8,4.97,122.7,13.89,0.43
Gujarat,Ahmedabad,Soybean,Whole Year,Alluvial,771.2,26.4,51.4,26.64,109.7,16.11,1.18
Tamil Nadu,Tirunelveli,Tur (Arhar),Whole Year,Desert (Arid),822.5,20.1,52.3,41.54,81.5,16.0,0.47
Telangana,Medak,Cotton,Rabi,Sandy Loam,242.1,22.7,51.8,23.49,257.9,5.57,1.19
Tamil Nadu,Tirunelveli,Mustard,Kharif,Alluvial,963.9,29.5,81.2,46.23,143.6,10.75,1.48
Punjab,Jalandhar,Jowar,Zaid,Laterite,50.0,39.5,43.7,9.66,69.1,10.81,0.27
Gujarat,Vadodara,Jowar,Kharif,Desert (Arid),1092.6,21.3,81.8,3.28,89.9,19.0,0.62
Tamil Nadu,Madurai,Mustard,Rabi,Black (Regur),459.3,21.2,54.6,47.56,289.2,8.13,1.15
Telangana,Nalgonda,Sugarcane,Zaid,Desert (Arid),232.7,38.8,39.6,40.02,109.4,9.17,13.74
Telangana,Medak,Maize,Rabi,Red,421.4,14.7,60.8,10.17,74.3,16.44,0.58
Punjab,Patiala,Soybean,Rabi,Clay,311.5,19.5,57.8,3.25,270.1,7.08,0.64
Telangana,Nalgonda,Tur (Arhar),Whole Year,Sandy Loam,976.7,23.1,55.1,48.9,149.9,1.47,1.33
Madhya Pradesh,Bhopal,Cotton,Whole Year,Red,640.0,32.5,73.2,15.49,186.1,18.91,2.17
Karnataka,Belgaum,Tomato,Rabi,Clay,467.4,19.9,53.8,39.14,80.9,16.87,9.25
Madhya Pradesh,Bhopal,Chana (Gram),Kharif,Black (Regur),326.1,30.1,70.6,31.25,209.0,7.22,0.79
Madhya Pradesh,Jabalpur,Jowar,Kharif,Laterite,805.6,33.2,88.3,34.18,160.3,13.78,0.8
Madhya Pradesh,Bhopal,Chana (Gram),Rabi,Mountain,122.7,25.1,54.4,44.28,92.8,12.9,0.24
Maharashtra,Kolhapur,Wheat,Rabi,Mountain,336.8,17.4,40.5,40.15,45.3,23.99,1.25
Madhya Pradesh,Bhopal,Jowar,Zaid,Alluvial,175.0,38.7,54.4,37.83,63.0,21.74,0.21
Tamil Nadu,Thanjavur,Cotton,Kharif,Clay,913.4,35.2,73.4,15.64,283.5,12.42,1.94
Tamil Nadu,Coimbatore,Wheat,Whole Year,Alluvial,441.9,26.4,74.6,5.6,109.2,18.9,1.44
Karnataka,Belgaum,Maize,Whole Year,Mountain,632.7,21.5,61.0,48.84,246.4,3.53,3.94
Gujarat,Surat,Tomato,Kharif,Black (Regur),1093.3,31.7,76.6,38.97,133.5,18.23,16.47
Rajasthan,Jaipur,Mustard,Kharif,Clay,1495.7,33.8,72.9,4.39,294.4,3.51,1.61
Tamil Nadu,Salem,Tur (Arhar),Zaid,Laterite,184.9,33.0,48.5,41.86,198.7,7.56,0.52
Karnataka,Shimoga,Chana (Gram),Zaid,Laterite,174.2,33.4,36.9,3.5,147.4,2.83,0.5
Rajasthan,Ajmer,Potato,Whole Year,Red,258.8,24.0,63.9,14.13,48.3,14.65,8.41
Karnataka,Shimoga,Rice,Kharif,Sandy Loam,1305.8,35.2,86.4,31.16,77.4,22.54,2.88
Andhra Pradesh,West Godavari,Maize,Whole Year,Desert (Arid),652.3,25.4,77.3,47.99,138.8,10.92,1.9
Bihar,Darbhanga,Maize,Zaid,Alluvial,,36.0,39.0,20.34,21.5,8.04,1.05
Telangana,Nalgonda,Tur (Arhar),Kharif,Sandy Loam,935.0,33.3,62.3,34.3,271.3,20.3,1.29
Uttar Pradesh,Lucknow,Onion,Whole Year,Mountain,594.6,25.9,65.8,37.07,112.4,23.86,5.32
Karnataka,Belgaum,Cotton,Kharif,Sandy Loam,373.5,30.1,83.1,41.61,49.6,14.71,0.53
Madhya Pradesh,Jabalpur,Sugarcane,Rabi,Alluvial,292.6,21.7,34.2,27.95,80.2,23.2,30.09
Gujarat,Surat,Cotton,Kharif,Laterite,664.8,29.7,66.7,8.66,212.4,14.15,2.32
Karnataka,Belgaum,Rice,Whole Year,Mountain,478.0,26.0,66.7,39.91,229.5,6.45,1.79
Rajasthan,Jaipur,Rice,Whole Year,Mountain,749.6,22.8,55.8,10.4,172.0,0.86,3.42
Andhra Pradesh,Guntur,Rice,Whole Year,Black (Regur),735.3,24.8,68.0,33.34,280.2,20.18,3.84
West Bengal,Murshidabad,Tomato,Whole Year,Desert (Arid),494.0,31.3,65.4,15.99,283.6,17.66,11.71
Rajasthan,Udaipur,Soybean,Whole Year,Red,312.2,31.3,65.6,17.0,204.8,22.22,0.73
Karnataka,Shimoga,Soybean,Zaid,Red,91.3,40.6,57.4,23.74,208.7,14.25,0.71
Madhya Pradesh,Ujjain,Sugarcane,Kharif,Black (Regur),992.8,31.8,65.4,9.42,82.5,10.34,74.44
Telangana,Warangal,Cotton,Whole Year,Clay,237.5,22.9,92.8,5.97,104.3,2.88,0.6
Punjab,Bathinda,Cotton,Kharif,Alluvial,1173.4,28.6,95.2,17.92,271.0,17.83,2.65
Madhya Pradesh,Ujjain,Tur (Arhar),Kharif,Mountain,826.6,27.3,76.1,15.51,118.5,4.33,0.77
Gujarat,Ahmedabad,Tomato,Whole Year,Laterite,708.6,27.9,61.4,34.56,50.6,8.5,9.04
Bihar,Bhagalpur,Maize,Rabi,Red,252.3,18.6,67.4,28.75,179.3,6.13,1.8
Telangana,Warangal,Cotton,Zaid,Mountain,216.1,35.9,43.8,22.28,243.4,12.98,0.71
Rajasthan,Ajmer,Tomato,Whole Year,Clay,400.2,27.1,60.9,5.78,165.4,1.36,17.02
Madhya Pradesh,Bhopal,Soybean,Zaid,Clay,118.9,35.6,29.4,11.16,175.0,9.19,0.85
West Bengal,Murshidabad,Jowar,Whole Year,Mountain,605.9,20.7,51.2,34.2,181.1,21.74,0.56
Maharashtra,Ahmednagar,Rice,Zaid,Laterite,177.2,36.3,37.6,28.47,249.9,18.17,1.71
Bihar,Darbhanga,Tomato,Whole Year,Red,679.2,25.6,83.4,37.72,162.4,8.06,27.44
Bihar,Patna,Maize,Kharif,Laterite,607.1,29.1,64.4,5.86,244.3,15.81,1.91
Rajasthan,Jaipur,Mustard,Zaid,Alluvial,135.1,34.2,32.8,27.37,155.2,16.26,0.36
Punjab,Patiala,Soybean,Rabi,Desert (Arid),250.8,17.7,64.9,34.31,27.6,14.14,0.31
